category,query_id,query_number,avg_runtime_ms,status,error
aggregation,Q045,556,40.6793,OK,
aggregation,Q046,557,28.3082,OK,
aggregation,Q047,558,226.1391,OK,
aggregation,Q048,559,4.5587,OK,
aggregation,Q049,560,5.7532,OK,
aggregation,Q050,561,228.4577,OK,
aggregation,Q051,562,5.3281,OK,
aggregation,Q052,563,6.0325,OK,
aggregation,Q053,564,94.7084,OK,
aggregation,Q054,565,379.6757,OK,
aggregation,Q055,566,196.8291,OK,
aggregation,Q056,567,5.3981,OK,
aggregation,Q057,568,55.3357,OK,
aggregation,Q058,569,174.5926,OK,
aggregation,Q059,570,50.5015,OK,
aggregation,Q060,571,52.1182,OK,
aggregation,Q061,572,163.4528,OK,
aggregation,Q062,573,124.9263,OK,
aggregation,Q063,574,300.3108,OK,
aggregation,Q064,575,161.4825,OK,
aggregation,Q065,576,9.0592,OK,
aggregation,Q066,577,935.6533,OK,
aggregation,Q067,578,152.5698,OK,
aggregation,Q068,579,250.7162,OK,
aggregation,Q069,580,234.0198,OK,
aggregation,Q070,581,296.8859,OK,
aggregation,Q071,582,47.4527,OK,
aggregation,Q072,583,7.121,OK,
aggregation,Q073,584,278.7908,OK,
aggregation,Q074,585,7.0418,OK,
aggregation,Q075,586,389.9578,OK,
aggregation,Q076,587,177.5,OK,
aggregation,Q077,588,577.6534,OK,
aggregation,Q078,589,694.49,OK,
aggregation,Q079,590,67.2859,OK,
aggregation,Q080,591,425.5543,OK,
aggregation,Q081,592,177.4683,OK,
aggregation,Q082,593,351.6745,OK,
aggregation,Q083,594,13.1538,OK,
aggregation,Q084,595,1401.5324,OK,
aggregation,Q085,596,36.4626,OK,
aggregation,Q086,597,163.6184,OK,
aggregation,Q087,598,721.5717,OK,
aggregation,Q088,599,18.5931,OK,
aggregation,Q089,600,279.5904,OK,
aggregation,Q090,601,179.4782,OK,
aggregation,Q091,602,53.3442,OK,
aggregation,Q092,603,33.1358,OK,
aggregation,Q093,604,46.0492,OK,
aggregation,Q094,605,240.4097,OK,
aggregation,Q095,606,3.9466,OK,
aggregation,Q096,607,304.6022,OK,
